Participant	time	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score
ST146	post_recitation	N	F	W	Genie	Pair2_130	0.954545455
ST152	post_recitation	N	M	W	Genie	Pair2_700	0.727272727
ST159	post_recitation	N	M	W	Genie	Pair1_700	1
ST160	post_recitation	N	M	W	Genie	Pair2_700	1
ST161	post_recitation	N	M	W	Genie	Pair2_130	0.954545455
ST168	post_recitation	N	F	W	Genie	Pair2_700	1
ST179	post_recitation	N	M	W	Genie	Pair2_130	1
ST180	post_recitation	N	M	W	Genie	Pair1_130	1
ST181	post_recitation	N	M	W	Genie	Pair1_130	1
ST185	post_recitation	Y	F	W	Genie	Pair2_700	0.636363636
ST190	post_recitation	N	F	W	Genie	Pair2_130	0.727272727
ST193	post_recitation	N	M	W	Genie	Pair1_130	0.954545455
ST194	post_recitation	N	M	W	Genie	Pair1_700	0.818181818
ST200	post_recitation	N	M	W	Genie	Pair1_130	1
ST204	post_recitation	N	M	W	Genie	Pair1_130	0.909090909
ST211	post_recitation	N	F	W	Genie	Pair1_130	0.863636364
ST215	post_recitation	N	F	W	Genie	Pair1_130	1
ST218	post_recitation	N	F	W	Genie	Pair1_130	0.772727273
ST220	post_recitation	N	F	W	Genie	Pair2_700	1
ST221	post_recitation	N	F	W	Genie	Pair2_700	0.818181818
ST226	post_recitation	N	F	W	Genie	Pair1_130	1
ST231	post_recitation	N	F	W	Genie	Pair2_700	1
ST234	post_recitation	N	F	W	Genie	Pair1_700	0.909090909
ST235	post_recitation	N	F	W	Genie	Pair2_130	0.954545455
ST236	post_recitation	N	F	W	Genie	Pair1_130	1
ST237	post_recitation	N	F	W	Genie	Pair1_700	0.909090909
ST244	post_recitation	N	F	W	Genie	Pair1_130	1
ST245	post_recitation	N	F	W	Genie	Pair1_700	0.909090909
ST249	post_recitation	N	F	W	Genie	Pair1_130	1
ST256	post_recitation	Y	M	W	Genie	Pair2_700	1
ST7	.pre_recitation	N	F	POC	Genie	Pair2_130	0.5
ST14	.pre_recitation	N	F	POC	Genie	Pair1_130	0.863636364
ST19	.pre_recitation	N	F	POC	Genie	Pair2_130	0.818181818
ST43	.pre_recitation	N	M	POC	Genie	Pair1_130	0.818181818
ST52	.pre_recitation	N	F	POC	Genie	Pair1_130	1
ST53	.pre_recitation	N	F	POC	Genie	Pair2_130	1
ST56	.pre_recitation	N	F	POC	Genie	Pair1_130	1
ST63	.pre_recitation	N	M	POC	Genie	Pair2_130	0.636363636
ST65	.pre_recitation	N	F	POC	Genie	Pair1_700	0.863636364
ST74	.pre_recitation	Y	M	POC	Genie	Pair1_700	0.863636364
ST81	.pre_recitation	Y	F	POC	Genie	Pair2_700	0.636363636
ST95	.pre_recitation	Y	F	POC	Genie	Pair2_700	0.863636364
ST106	.pre_recitation	N	F	POC	Genie	Pair2_130	1
ST116	.pre_recitation	Y	F	POC	Genie	Pair2_130	1
ST134	.pre_recitation	N	F	POC	Genie	Pair2_130	0.727272727
ST137	.pre_recitation	N	M	POC	Genie	Pair1_130	1
ST148	.pre_recitation	N	F	POC	Genie	Pair2_130	0.954545455
ST158	.pre_recitation	N	F	POC	Genie	Pair1_700	0.590909091
ST162	.pre_recitation	Y	F	POC	Genie	Pair2_130	1
ST163	.pre_recitation	N	F	POC	Genie	Pair1_700	0.863636364
ST164	.pre_recitation	N	M	POC	Genie	Pair2_130	0.772727273
ST167	.pre_recitation	N	F	POC	Genie	Pair1_700	0.681818182
ST184	.pre_recitation	N	F	POC	Genie	Pair1_130	0.909090909
ST214	.pre_recitation	Y	F	POC	Genie	Pair1_700	1
ST230	.pre_recitation	N	F	POC	Genie	Pair1_700	0.909090909
ST241	.pre_recitation	N	F	POC	Genie	Pair2_130	0.818181818
ST7	post_recitation	N	F	POC	Genie	Pair2_130	0.590909091
ST14	post_recitation	N	F	POC	Genie	Pair1_130	0.772727273
ST19	post_recitation	N	F	POC	Genie	Pair2_130	0.863636364
ST43	post_recitation	N	M	POC	Genie	Pair1_130	0.863636364
ST52	post_recitation	N	F	POC	Genie	Pair1_130	1
ST53	post_recitation	N	F	POC	Genie	Pair2_130	1
ST56	post_recitation	N	F	POC	Genie	Pair1_130	1
ST63	post_recitation	N	M	POC	Genie	Pair2_130	0.681818182
ST65	post_recitation	N	F	POC	Genie	Pair1_700	1
ST74	post_recitation	Y	M	POC	Genie	Pair1_700	1
ST81	post_recitation	Y	F	POC	Genie	Pair2_700	0.363636364
ST95	post_recitation	Y	F	POC	Genie	Pair2_700	0.954545455
ST106	post_recitation	N	F	POC	Genie	Pair2_130	1
ST116	post_recitation	Y	F	POC	Genie	Pair2_130	1
ST134	post_recitation	N	F	POC	Genie	Pair2_130	0.954545455
ST137	post_recitation	N	M	POC	Genie	Pair1_130	1
ST148	post_recitation	N	F	POC	Genie	Pair2_130	0.954545455
ST158	post_recitation	N	F	POC	Genie	Pair1_700	0.772727273
ST162	post_recitation	Y	F	POC	Genie	Pair2_130	1
ST163	post_recitation	N	F	POC	Genie	Pair1_700	0.863636364
ST164	post_recitation	N	M	POC	Genie	Pair2_130	0.954545455
ST167	post_recitation	N	F	POC	Genie	Pair1_700	0.909090909
ST184	post_recitation	N	F	POC	Genie	Pair1_130	0.772727273
ST214	post_recitation	Y	F	POC	Genie	Pair1_700	1
ST230	post_recitation	N	F	POC	Genie	Pair1_700	1
ST241	post_recitation	N	F	POC	Genie	Pair2_130	0.909090909
ST250	.pre_recitation	N	F	POC	Genie	Pair2_700	1
ST250	post_recitation	N	F	POC	Genie	Pair2_700	1
ST169	.pre_recitation	N	M	POC	Genie	Pair1_130	0.818181818
ST196	.pre_recitation	N	F	POC	Genie	Pair2_130	0.954545455
ST169	post_recitation	N	M	POC	Genie	Pair1_130	0.909090909
ST196	post_recitation	N	F	POC	Genie	Pair2_130	0.954545455
