year	instruction	class	student	score	
Post-recitation_score_2016	Genie	Pair1_430	ST88	0.681818182	
Post-recitation_score_2016	Genie	Pair2_300	ST89	0.727272727	
Post-recitation_score_2016	Genie	Pair1_300	ST90	0.727272727	
Post-recitation_score_2016	Genie	Pair2_430	ST91	0.727272727	
Post-recitation_score_2016	Genie	Pair1_600	ST92	0.727272727	
Post-recitation_score_2016	Genie	Pair2_600	ST93	0.727272727	
Post-recitation_score_2016	Genie	Pair2_300	ST94	0.727272727	
Post-recitation_score_2016	Genie	Pair2_430	ST95	0.727272727	
Post-recitation_score_2016	Genie	Pair2_730	ST96	0.727272727	
Post-recitation_score_2016	Genie	Pair1_430	ST97	0.727272727	
Post-recitation_score_2016	Genie	Pair1_300	ST98	0.727272727	
Post-recitation_score_2016	Genie	Pair1_600	ST99	0.727272727	
Post-recitation_score_2016	Genie	Pair2_600	ST100	0.727272727	
Post-recitation_score_2016	Genie	Pair2_300	ST101	0.727272727	
Post-recitation_score_2016	Genie	Pair1_730	ST102	0.727272727	
Post-recitation_score_2016	Genie	Pair1_300	ST103	0.727272727	
Post-recitation_score_2016	Genie	Pair1_600	ST104	0.727272727	
Post-recitation_score_2016	Genie	Pair2_430	ST105	0.727272727	
Post-recitation_score_2016	Genie	Pair2_600	ST106	0.727272727	
Post-recitation_score_2016	Genie	Pair2_430	ST107	0.727272727	
Post-recitation_score_2016	Genie	Pair2_600	ST108	0.772727273	
Post-recitation_score_2016	Genie	Pair2_430	ST109	0.772727273	
Post-recitation_score_2016	Genie	Pair2_430	ST110	0.772727273	
Post-recitation_score_2016	Genie	Pair1_300	ST111	0.772727273	
Post-recitation_score_2016	Genie	Pair2_300	ST112	0.772727273	
Post-recitation_score_2016	Genie	Pair1_600	ST113	0.772727273	
Post-recitation_score_2016	Genie	Pair1_430	ST114	0.772727273	
Post-recitation_score_2016	Genie	Pair2_430	ST115	0.772727273	
Post-recitation_score_2016	Genie	Pair2_600	ST116	0.772727273	
Post-recitation_score_2016	Genie	Pair2_430	ST117	0.818181818	
Post-recitation_score_2016	Genie	Pair1_730	ST118	0.818181818	
Post-recitation_score_2016	Genie	Pair1_300	ST119	0.818181818	
Post-recitation_score_2016	Genie	Pair2_730	ST120	0.818181818	
Post-recitation_score_2016	Genie	Pair1_300	ST121	0.818181818	
Post-recitation_score_2016	Genie	Pair1_300	ST122	0.818181818	
Post-recitation_score_2016	Genie	Pair1_600	ST123	0.818181818	
Post-recitation_score_2016	Genie	Pair1_600	ST124	0.818181818	
Post-recitation_score_2016	Genie	Pair2_300	ST125	0.818181818	
Post-recitation_score_2016	Genie	Pair1_300	ST126	0.818181818	
Post-recitation_score_2016	Genie	Pair2_730	ST127	0.818181818	
Post-recitation_score_2016	Genie	Pair1_430	ST128	0.818181818	
Post-recitation_score_2016	Genie	Pair2_430	ST129	0.818181818	
Post-recitation_score_2016	Genie	Pair2_600	ST130	0.818181818	
Post-recitation_score_2016	Genie	Pair1_600	ST131	0.863636364	
Post-recitation_score_2016	Genie	Pair1_300	ST132	0.863636364	
Post-recitation_score_2016	Genie	Pair1_600	ST133	0.863636364	
Post-recitation_score_2016	Genie	Pair1_300	ST134	0.863636364	
Post-recitation_score_2016	Genie	Pair1_430	ST135	0.863636364	
Post-recitation_score_2016	Genie	Pair1_300	ST136	0.863636364	
Post-recitation_score_2016	Genie	Pair1_300	ST137	0.863636364	
Post-recitation_score_2016	Genie	Pair2_430	ST138	0.863636364	
Post-recitation_score_2016	Genie	Pair2_300	ST139	0.863636364	
Post-recitation_score_2016	Genie	Pair1_600	ST140	0.863636364	
Post-recitation_score_2016	Genie	Pair1_430	ST141	0.863636364	
Post-recitation_score_2016	Genie	Pair2_300	ST142	0.863636364	
Post-recitation_score_2016	Genie	Pair1_600	ST143	0.863636364	
Post-recitation_score_2016	Genie	Pair1_430	ST144	0.863636364	
Post-recitation_score_2016	Genie	Pair2_430	ST145	0.909090909	
Post-recitation_score_2016	Genie	Pair1_300	ST146	0.909090909	
Post-recitation_score_2016	Genie	Pair1_430	ST147	0.909090909	
Post-recitation_score_2016	Genie	Pair1_600	ST148	0.909090909	
Post-recitation_score_2016	Genie	Pair2_600	ST149	0.909090909	
Post-recitation_score_2016	Genie	Pair2_600	ST150	0.909090909	
Post-recitation_score_2016	Genie	Pair1_600	ST151	0.909090909	
Post-recitation_score_2016	Genie	Pair1_300	ST152	0.909090909	
Post-recitation_score_2016	Genie	Pair2_730	ST153	0.909090909	
Post-recitation_score_2016	Genie	Pair2_730	ST154	0.909090909	
Post-recitation_score_2016	Genie	Pair1_430	ST155	0.909090909	
Post-recitation_score_2016	Genie	Pair1_600	ST156	0.909090909	
Post-recitation_score_2016	Genie	Pair1_600	ST157	0.909090909	
Post-recitation_score_2016	Genie	Pair1_730	ST158	0.909090909	
Post-recitation_score_2016	Genie	Pair1_600	ST159	0.909090909	
Post-recitation_score_2016	Genie	Pair2_430	ST160	0.909090909	
Post-recitation_score_2016	Genie	Pair2_430	ST161	0.909090909	
Post-recitation_score_2016	Genie	Pair1_600	ST162	0.909090909	
Post-recitation_score_2016	Genie	Pair1_600	ST163	0.909090909	
Post-recitation_score_2016	Genie	Pair2_600	ST164	0.954545455	
Post-recitation_score_2016	Genie	Pair1_600	ST165	0.954545455	
Post-recitation_score_2016	Genie	Pair2_430	ST166	0.954545455	
Post-recitation_score_2016	Genie	Pair2_430	ST167	0.954545455	
Post-recitation_score_2016	Genie	Pair2_430	ST168	0.954545455	
Post-recitation_score_2016	Genie	Pair1_730	ST169	0.954545455	
Post-recitation_score_2016	Genie	Pair2_300	ST170	0.954545455	
Post-recitation_score_2016	Genie	Pair1_300	ST171	0.954545455	
Post-recitation_score_2016	Genie	Pair2_300	ST172	0.954545455	
Post-recitation_score_2016	Genie	Pair1_600	ST173	0.954545455	
Post-recitation_score_2016	Genie	Pair1_300	ST174	0.954545455	
Post-recitation_score_2016	Genie	Pair1_300	ST175	0.954545455	
Post-recitation_score_2016	Genie	Pair2_300	ST176	0.954545455	
Post-recitation_score_2016	Genie	Pair2_730	ST177	0.954545455	
Post-recitation_score_2016	Genie	Pair1_600	ST178	0.954545455	
Post-recitation_score_2016	Genie	Pair2_430	ST179	0.954545455	
Post-recitation_score_2016	Genie	Pair1_300	ST180	0.954545455	
Post-recitation_score_2016	Genie	Pair2_730	ST181	0.954545455	
Post-recitation_score_2016	Genie	Pair2_430	ST182	0.954545455	
Post-recitation_score_2016	Genie	Pair2_730	ST183	0.954545455	
Post-recitation_score_2016	Genie	Pair1_600	ST184	0.954545455	
Post-recitation_score_2016	Genie	Pair2_430	ST185	1	
Post-recitation_score_2016	Genie	Pair1_300	ST186	1	
Post-recitation_score_2016	Genie	Pair2_300	ST187	1	
Post-recitation_score_2016	Genie	Pair1_430	ST188	1	
Post-recitation_score_2016	Genie	Pair1_300	ST189	1	
Post-recitation_score_2016	Genie	Pair2_430	ST190	1	
Post-recitation_score_2016	Genie	Pair2_300	ST191	1	
Post-recitation_score_2016	Genie	Pair2_730	ST192	1	
Post-recitation_score_2016	Genie	Pair2_300	ST193	1	
Post-recitation_score_2016	Genie	Pair2_300	ST194	1	
Post-recitation_score_2016	Genie	Pair2_300	ST195	1	
Post-recitation_score_2016	Genie	Pair1_600	ST196	1	
Post-recitation_score_2016	Genie	Pair2_430	ST197	1	
Post-recitation_score_2016	Genie	Pair2_730	ST198	1	
Post-recitation_score_2016	Genie	Pair2_730	ST199	1	
