year	instruction	class	student	score
Post-recitation_score_2017	No_Genie	Pair1_300	ST65	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_300	ST66	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST67	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_300	ST68	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_300	ST69	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST70	0.545454545
Post-recitation_score_2017	No_Genie	Pair1_300	ST71	1
Post-recitation_score_2017	No_Genie	Pair1_300	ST72	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_300	ST73	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST74	0.545454545
Post-recitation_score_2017	No_Genie	Pair1_300	ST75	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST76	0.590909091
Post-recitation_score_2017	No_Genie	Pair1_300	ST77	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_300	ST78	0.681818182
Post-recitation_score_2017	No_Genie	Pair1_300	ST79	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_430	ST80	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST81	0.772727273
Post-recitation_score_2017	No_Genie	Pair1_430	ST82	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_430	ST83	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_430	ST84	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST85	0.772727273
Post-recitation_score_2017	No_Genie	Pair1_430	ST86	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST87	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST88	0.954545455
Post-recitation_score_2017	No_Genie	Pair1_430	ST89	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_430	ST90	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_430	ST91	0.409090909
Post-recitation_score_2017	No_Genie	Pair1_430	ST92	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_430	ST93	0.863636364
Post-recitation_score_2017	No_Genie	Pair1_430	ST94	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST95	0.909090909
Post-recitation_score_2017	No_Genie	Pair1_430	ST96	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_430	ST97	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_430	ST98	0.818181818
Post-recitation_score_2017	No_Genie	Pair1_430	ST99	0.681818182
Post-recitation_score_2017	No_Genie	Pair1_430	ST100	1
Post-recitation_score_2017	No_Genie	Pair1_430	ST101	0.954545455
