Participant	time	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score
ST102	post_recitation	N	M	POC	No_Genie	Pair1_430	1
ST110	post_recitation	N	F	POC	No_Genie	Pair1_300	0.818181818
ST165	post_recitation	N	F	POC	No_Genie	Pair2_300	0.909090909
ST174	post_recitation	N	M	POC	No_Genie	Pair2_300	0.272727273
ST177	post_recitation	N	F	POC	No_Genie	Pair2_300	0.818181818
ST183	post_recitation	N	M	POC	No_Genie	Pair1_430	0.818181818
ST186	post_recitation	N	M	POC	No_Genie	Pair2_300	0.954545455
ST191	post_recitation	N	M	POC	No_Genie	Pair1_300	0.954545455
ST213	post_recitation	N	F	POC	No_Genie	Pair2_300	0.727272727
ST217	post_recitation	N	F	POC	No_Genie	Pair2_430	1
ST171	.pre_recitation	N	M	POC	No_Genie	Pair2_430	0.454545455
ST171	post_recitation	N	M	POC	No_Genie	Pair2_430	0.454545455
