Participant	time	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	score
ST6	post_recitation	F	N	Y	W	Pair2_430	0.590909091
ST60	post_recitation	F	N	Y	W	Pair1_600	0.545454545
ST63	post_recitation	F	N	Y	W	Pair1_430	0.590909091
ST64	post_recitation	M	N	Y	W	Pair1_430	0.590909091
ST65	post_recitation	F	N	Y	W	Pair2_300	0.590909091
ST67	post_recitation	F	N	Y	W	Pair2_300	0.590909091
ST68	post_recitation	F	Y	Y	W	Pair1_430	0.590909091
ST69	post_recitation	F	N	Y	W	Pair2_600	0.590909091
ST71	post_recitation	M	N	Y	W	Pair2_730	0.590909091
ST72	post_recitation	F	N	Y	W	Pair1_730	0.636363636
ST73	post_recitation	F	N	Y	W	Pair2_730	0.636363636
ST77	post_recitation	F	N	Y	W	Pair2_600	0.636363636
ST78	post_recitation	M	N	Y	W	Pair1_600	0.636363636
ST8	post_recitation	F	N	Y	W	Pair1_430	0.818181818
ST81	post_recitation	F	N	N	W	Pair2_300	0.681818182
ST83	post_recitation	M	N	Y	W	Pair1_730	0.681818182
ST84	post_recitation	M	N	Y	W	Pair1_430	0.681818182
ST86	post_recitation	F	N	Y	W	Pair1_300	0.681818182
ST87	post_recitation	M	N	Y	W	Pair2_430	0.681818182
ST88	post_recitation	M	Y	Y	W	Pair1_430	0.681818182
ST89	post_recitation	F	N	Y	W	Pair2_300	0.727272727
ST9	post_recitation	F	N	Y	W	Pair1_430	0.454545455
ST90	post_recitation	F	N	Y	W	Pair1_300	0.727272727
ST91	post_recitation	M	N	Y	W	Pair2_430	0.727272727
ST92	post_recitation	F	N	Y	W	Pair1_600	0.727272727
ST94	post_recitation	F	N	Y	W	Pair2_300	0.727272727
ST95	post_recitation	M	N	Y	W	Pair2_430	0.727272727
ST96	post_recitation	M	N	Y	W	Pair2_730	0.727272727
ST98	post_recitation	F	N	Y	W	Pair1_300	0.727272727
ST99	post_recitation	F	Y	Y	W	Pair1_600	0.727272727
ST110	.pre_recitation	F	N	Y	POC	Pair2_430	0.636363636
